Name,Leave
Salisbury,0.4991
Chingford and Woodford Green,0.4988
Moray,0.4987
Runnymede and Weybridge,0.4985
Bromley and Chislehurst,0.4983
"Liverpool, West Derby",0.4982
Arundel and South Downs,0.497
Milton Keynes North,0.4967
Wythenshawe and Sale East,0.4965
Belfast North,0.4964
"Ruislip, Northwood and Pinner",0.4954
Horsham,0.4949
"Southampton, Test",0.4941
Gower,0.4931
East Hampshire,0.4927
Hertford and Stortford,0.4924
Enfield North,0.4922
Beaconsfield,0.4901
Stretford and Urmston,0.4891
Buckingham,0.4887
Filton and Bradley Stoke,0.4877
Pudsey,0.4858
Wycombe,0.4846
Angus,0.4824
Monmouth,0.4806
Newcastle upon Tyne Central,0.48
Reigate,0.4798
East Londonderry,0.4797
West Ham,0.4797
Garston and Halewood,0.4796
The Cotswolds,0.4792
Newbury,0.4781
Epsom and Ewell,0.4778
North Down,0.4764
Tynemouth,0.4764
Glenrothes,0.4761
North Somerset,0.4758
Harrow East,0.4748
Dwyfor Meirionnydd,0.4743
Mole Valley,0.4731
"Birmingham, Edgbaston",0.473
Macclesfield,0.4718
Harrogate and Knaresborough,0.4718
Lewes,0.4714
Bristol South,0.4714
Westmorland and Lonsdale,0.4706
"Birmingham, Selly Oak",0.469
Bristol East,0.468
Stockport,0.4679
Bradford West,0.4674
Windsor,0.4666
Beckenham,0.4658
Wirral South,0.4655
Pontypridd,0.4651
Nottingham South,0.4647
Wantage,0.4646
Mid Sussex,0.4644
Witney,0.4634
Southport,0.4629
East Ham,0.4627
Ealing North,0.4626
Kenilworth and Southam,0.4621
South West Hertfordshire,0.462
North East Hampshire,0.4618
Romsey and Southampton North,0.4608
Leeds Central,0.4596
Stroud,0.4586
Truro and Falmouth,0.4585
Croydon South,0.4581
Tatton,0.4563
Edmonton,0.4551
Ceredigion,0.4537
Hexham,0.4534
Canterbury,0.4533
South East Cambridgeshire,0.453
Dumfries and Galloway,0.4511
Harrow West,0.4506
Maidenhead,0.4503
Chesham and Amersham,0.4498
Exeter,0.4483
Na h-Eileanan an Iar,0.4476
Wirral West,0.4469
Mitcham and Morden,0.4469
York Outer,0.4467
Tunbridge Wells,0.4465
"Dumfriesshire, Clydesdale and Tweeddale",0.4465
Gordon,0.4429
Woking,0.4425
"Ayr, Carrick and Cumnock",0.4411
Sefton Central,0.4409
Glasgow East,0.4384
Cardiff West,0.4382
"Brighton, Kemptown",0.4359
"Ross, Skye and Lochaber",0.4349
Swansea West,0.434
City of Durham,0.4334
Ilford South,0.4331
Brentford and Isleworth,0.4331
Kirkcaldy and Cowdenbeath,0.4326
Livingston,0.4326
"Berwickshire, Roxburgh and Selkirk",0.4326
Aberdeen North,0.4309
Henley,0.4309
Cheltenham,0.429
Brent Central,0.4289
Nottingham East,0.4288
Cardiff South and Penarth,0.4282
Wokingham,0.4269
Cheadle,0.4265
Brent North,0.4261
Leicester South,0.4244
North Ayrshire and Arran,0.424
City of Chester,0.4228
Falkirk,0.4211
Linlithgow and East Falkirk,0.4202
"Ealing, Southall",0.4183
Warwick and Leamington,0.4164
Central Ayrshire,0.4162
Bristol North West,0.416
Hendon,0.4157
Esher and Walton,0.4157
Rushcliffe,0.4147
Fermanagh and South Tyrone,0.4144
Guildford,0.412
South Antrim,0.4118
Croydon North,0.4117
Chipping Barnet,0.4107
Newcastle upon Tyne East,0.4107
Glasgow South West,0.4086
Kingston and Surbiton,0.4084
South West Surrey,0.4075
Dundee West,0.4075
Glasgow North East,0.4066
Norwich South,0.4053
Orkney and Shetland,0.4028
"Inverness, Nairn, Badenoch and Strathspey",0.4013
Perth and North Perthshire,0.399
Airdrie and Shotts,0.3984
Hitchin and Harpenden,0.3979
Winchester,0.3964
Mid Ulster,0.3961
Ochil and South Perthshire,0.395
Kilmarnock and Loudoun,0.3945
Argyll and Bute,0.3943
Dunfermline and West Fife,0.3939
West Aberdeenshire and Kincardine,0.3917
Cardiff North,0.3915
York Central,0.3882
"Coatbridge, Chryston and Bellshill",0.3878
Altrincham and Sale West,0.3859
South Cambridgeshire,0.3849
Dundee East,0.3841
Reading East,0.3825
"Manchester, Gorton",0.3821
Oxford West and Abingdon,0.3803
West Dunbartonshire,0.3801
Midlothian,0.3794
"Enfield, Southgate",0.3788
St Albans,0.3783
Motherwell and Wishaw,0.3771
Rutherglen and Hamilton West,0.3757
Leeds North East,0.3742
Newry and Armagh,0.3706
"Cumbernauld, Kilsyth and Kirkintilloch East",0.3699
"East Kilbride, Strathaven and Lesmahagow",0.3693
Manchester Central,0.3636
North East Fife,0.3631
Inverclyde,0.362
Lanark and Hamilton East,0.3596
Arfon,0.3585
Greenwich and Woolwich,0.3567
"Birmingham, Ladywood",0.356
Paisley and Renfrewshire North,0.3555
Leeds North West,0.3541
East Lothian,0.354
Lewisham East,0.3537
"Liverpool, Wavertree",0.3526
Paisley and Renfrewshire South,0.348
Leyton and Wanstead,0.3476
Lewisham West and Penge,0.3459
Poplar and Limehouse,0.3421
"Sheffield, Hallam",0.3401
Westminster North,0.3365
"Birmingham, Hall Green",0.336
Walthamstow,0.3349
Twickenham,0.3332
West Tyrone,0.3315
Hove,0.3295
South Down,0.3276
Oxford East,0.3253
Stirling,0.3228
Aberdeen South,0.3214
Cardiff Central,0.3201
Sheffield Central,0.3191
Bath,0.3172
Glasgow North West,0.3149
Camberwell and Peckham,0.3148
Hammersmith,0.3131
Kensington,0.312
Finchley and Golders Green,0.311
Bethnal Green and Bow,0.3086
Belfast South,0.3051
Wimbledon,0.2937
Ealing Central and Acton,0.2915
Chelsea and Fulham,0.291
Edinburgh West,0.2877
Glasgow Central,0.2875
Richmond Park,0.2869
Islington South and Finsbury,0.2828
Glasgow South,0.2819
Cities of London and Westminster,0.2805
Edinburgh South West,0.2786
Putney,0.2776
Edinburgh East,0.2764
"Liverpool, Riverside",0.273
East Dunbartonshire,0.2687
Holborn and St Pancras,0.2666
Cambridge,0.2623
Bermondsey and Old Southwark,0.2605
Belfast West,0.2594
"Brighton, Pavilion",0.2593
East Renfrewshire,0.2568
Tooting,0.2559
Hornsey and Wood Green,0.2498
"Manchester, Withington",0.2494
"Lewisham, Deptford",0.2443
Tottenham,0.2378
Hampstead and Kilburn,0.2373
Dulwich and West Norwood,0.2294
Hackney South and Shoreditch,0.2278
Vauxhall,0.2243
Edinburgh South,0.2215
Battersea,0.2205
Edinburgh North and Leith,0.218
Foyle,0.2174
Glasgow North,0.2162
Islington North,0.2161
Bristol West,0.2071
Streatham,0.2054
Hackney North and Stoke Newington,0.2048
